category_id,group,hierarchy,co2e_per_dollar,mods
10000000,special,"""Bank Fees""",0,
10001000,special,"""Bank Fees"",""Overdraft""",0,
10002000,special,"""Bank Fees"",""ATM""",0,
10003000,special,"""Bank Fees"",""Late Payment""",0,
10004000,special,"""Bank Fees"",""Fraud Dispute""",0,
10005000,special,"""Bank Fees"",""Foreign Transaction""",0,
10006000,special,"""Bank Fees"",""Wire Transfer""",0,
10007000,special,"""Bank Fees"",""Insufficient Funds""",0,
10008000,special,"""Bank Fees"",""Cash Advance""",0,
10009000,special,"""Bank Fees"",""Excess Activity""",0,
11000000,special,"""Cash Advance""",0,
12000000,place,"""Community""",0,
12001000,place,"""Community"",""Animal Shelter""",0,
12002000,place,"""Community"",""Assisted Living Services""",0,
12002001,place,"""Community"",""Assisted Living Services"",""Facilities and Nursing Homes""",0,
12002002,place,"""Community"",""Assisted Living Services"",""Caretakers""",0,
12003000,place,"""Community"",""Cemetery""",0,
12004000,place,"""Community"",""Courts""",0,
12005000,place,"""Community"",""Day Care and Preschools""",0,
12006000,place,"""Community"",""Disabled Persons Services""",0,
12007000,place,"""Community"",""Drug and Alcohol Services""",0,
12008000,place,"""Community"",""Education""",0,
12008001,place,"""Community"",""Education"",""Vocational Schools""",0,
12008002,place,"""Community"",""Education"",""Tutoring and Educational Services""",0,
12008003,place,"""Community"",""Education"",""Primary and Secondary Schools""",0,
12008004,place,"""Community"",""Education"",""Fraternities and Sororities""",0,
12008005,place,"""Community"",""Education"",""Driving Schools""",0,
12008006,place,"""Community"",""Education"",""Dance Schools""",0,
12008007,place,"""Community"",""Education"",""Culinary Lessons and Schools""",0,
12008008,place,"""Community"",""Education"",""Computer Training""",0,
12008009,place,"""Community"",""Education"",""Colleges and Universities""",0,
12008010,place,"""Community"",""Education"",""Art School""",0,
12008011,place,"""Community"",""Education"",""Adult Education""",0,
12009000,place,"""Community"",""Government Departments and Agencies""",0,
12010000,place,"""Community"",""Government Lobbyists""",0,
12011000,place,"""Community"",""Housing Assistance and Shelters""",0,
12012000,place,"""Community"",""Law Enforcement""",0,
12012001,place,"""Community"",""Law Enforcement"",""Police Stations""",0,
12012002,place,"""Community"",""Law Enforcement"",""Fire Stations""",0,
12012003,place,"""Community"",""Law Enforcement"",""Correctional Institutions""",0,
12013000,place,"""Community"",""Libraries""",0,
12014000,place,"""Community"",""Military""",0,
12015000,place,"""Community"",""Organizations and Associations""",0,
12015001,place,"""Community"",""Organizations and Associations"",""Youth Organizations""",0,
12015002,place,"""Community"",""Organizations and Associations"",""Environmental""",0,
12015003,place,"""Community"",""Organizations and Associations"",""Charities and Non-Profits""",0,
12016000,place,"""Community"",""Post Offices""",0,
12017000,place,"""Community"",""Public and Social Services""",0,
12018000,place,"""Community"",""Religious""",0,
12018001,place,"""Community"",""Religious"",""Temple""",0,
12018002,place,"""Community"",""Religious"",""Synagogues""",0,
12018003,place,"""Community"",""Religious"",""Mosques""",0,
12018004,place,"""Community"",""Religious"",""Churches""",0,
12019000,place,"""Community"",""Senior Citizen Services""",0,
12019001,place,"""Community"",""Senior Citizen Services"",""Retirement""",0,
13000000,place,"""Food and Drink""",274,diet
13001000,place,"""Food and Drink"",""Bar""",80,
13001001,place,"""Food and Drink"",""Bar"",""Wine Bar""",85,
13001002,place,"""Food and Drink"",""Bar"",""Sports Bar""",53,
13001003,place,"""Food and Drink"",""Bar"",""Hotel Lounge""",57,
13002000,place,"""Food and Drink"",""Breweries""",56,
13003000,place,"""Food and Drink"",""Internet Cafes""",351,diet
13004000,place,"""Food and Drink"",""Nightlife""",50,
13004001,place,"""Food and Drink"",""Nightlife"",""Strip Club""",50,
13004002,place,"""Food and Drink"",""Nightlife"",""Night Clubs""",50,
13004003,place,"""Food and Drink"",""Nightlife"",""Karaoke""",50,
13004004,place,"""Food and Drink"",""Nightlife"",""Jazz and Blues Cafe""",50,
13004005,place,"""Food and Drink"",""Nightlife"",""Hookah Lounges""",57,
13004006,place,"""Food and Drink"",""Nightlife"",""Adult Entertainment""",50,
13005000,place,"""Food and Drink"",""Restaurants""",351,diet
13005001,place,"""Food and Drink"",""Restaurants"",""Winery""",90,
13005002,place,"""Food and Drink"",""Restaurants"",""Vegan and Vegetarian""",152,
13005003,place,"""Food and Drink"",""Restaurants"",""Turkish""",351,diet
13005004,place,"""Food and Drink"",""Restaurants"",""Thai""",351,diet
13005005,place,"""Food and Drink"",""Restaurants"",""Swiss""",351,diet
13005006,place,"""Food and Drink"",""Restaurants"",""Sushi""",351,diet
13005007,place,"""Food and Drink"",""Restaurants"",""Steakhouses""",351,diet
13005008,place,"""Food and Drink"",""Restaurants"",""Spanish""",351,diet
13005009,place,"""Food and Drink"",""Restaurants"",""Seafood""",351,diet
13005010,place,"""Food and Drink"",""Restaurants"",""Scandinavian""",351,diet
13005011,place,"""Food and Drink"",""Restaurants"",""Portuguese""",351,diet
13005012,place,"""Food and Drink"",""Restaurants"",""Pizza""",351,diet
13005013,place,"""Food and Drink"",""Restaurants"",""Moroccan""",351,diet
13005014,place,"""Food and Drink"",""Restaurants"",""Middle Eastern""",351,diet
13005015,place,"""Food and Drink"",""Restaurants"",""Mexican""",351,diet
13005016,place,"""Food and Drink"",""Restaurants"",""Mediterranean""",351,diet
13005017,place,"""Food and Drink"",""Restaurants"",""Latin American""",351,diet
13005018,place,"""Food and Drink"",""Restaurants"",""Korean""",351,diet
13005019,place,"""Food and Drink"",""Restaurants"",""Juice Bar""",79,reusable
13005020,place,"""Food and Drink"",""Restaurants"",""Japanese""",351,diet
13005021,place,"""Food and Drink"",""Restaurants"",""Italian""",351,diet
13005022,place,"""Food and Drink"",""Restaurants"",""Indonesian""",351,diet
13005023,place,"""Food and Drink"",""Restaurants"",""Indian""",351,diet
13005024,place,"""Food and Drink"",""Restaurants"",""Ice Cream""",165,
13005025,place,"""Food and Drink"",""Restaurants"",""Greek""",351,diet
13005026,place,"""Food and Drink"",""Restaurants"",""German""",351,diet
13005027,place,"""Food and Drink"",""Restaurants"",""Gastropub""",351,diet
13005028,place,"""Food and Drink"",""Restaurants"",""French""",351,diet
13005029,place,"""Food and Drink"",""Restaurants"",""Food Truck""",351,diet
13005030,place,"""Food and Drink"",""Restaurants"",""Fish and Chips""",351,diet
13005031,place,"""Food and Drink"",""Restaurants"",""Filipino""",351,diet
13005032,place,"""Food and Drink"",""Restaurants"",""Fast Food""",351,diet
13005033,place,"""Food and Drink"",""Restaurants"",""Falafel""",351,diet
13005034,place,"""Food and Drink"",""Restaurants"",""Ethiopian""",351,diet
13005035,place,"""Food and Drink"",""Restaurants"",""Eastern European""",351,diet
13005036,place,"""Food and Drink"",""Restaurants"",""Donuts""",152,
13005037,place,"""Food and Drink"",""Restaurants"",""Distillery""",26,
13005038,place,"""Food and Drink"",""Restaurants"",""Diners""",351,diet
13005039,place,"""Food and Drink"",""Restaurants"",""Dessert""",152,
13005040,place,"""Food and Drink"",""Restaurants"",""Delis""",351,diet
13005041,place,"""Food and Drink"",""Restaurants"",""Cupcake Shop""",152,diet
13005042,place,"""Food and Drink"",""Restaurants"",""Cuban""",351,diet
13005043,place,"""Food and Drink"",""Restaurants"",""Coffee Shop""",67,reusable
13005044,place,"""Food and Drink"",""Restaurants"",""Chinese""",351,diet
13005045,place,"""Food and Drink"",""Restaurants"",""Caribbean""",351,diet
13005046,place,"""Food and Drink"",""Restaurants"",""Cajun""",351,diet
13005047,place,"""Food and Drink"",""Restaurants"",""Cafe""",351,diet
13005048,place,"""Food and Drink"",""Restaurants"",""Burrito""",351,diet
13005049,place,"""Food and Drink"",""Restaurants"",""Burgers""",351,diet
13005050,place,"""Food and Drink"",""Restaurants"",""Breakfast Spot""",351,diet
13005051,place,"""Food and Drink"",""Restaurants"",""Brazilian""",351,diet
13005052,place,"""Food and Drink"",""Restaurants"",""Barbecue""",351,diet
13005053,place,"""Food and Drink"",""Restaurants"",""Bakery""",351,diet
13005054,place,"""Food and Drink"",""Restaurants"",""Bagel Shop""",351,diet
13005055,place,"""Food and Drink"",""Restaurants"",""Australian""",351,diet
13005056,place,"""Food and Drink"",""Restaurants"",""Asian""",351,diet
13005057,place,"""Food and Drink"",""Restaurants"",""American""",351,diet
13005058,place,"""Food and Drink"",""Restaurants"",""African""",351,diet
13005059,place,"""Food and Drink"",""Restaurants"",""Afghan""",351,diet
14000000,place,"""Healthcare""",0,
14001000,place,"""Healthcare"",""Healthcare Services""",0,
14001001,place,"""Healthcare"",""Healthcare Services"",""Psychologists""",0,
14001002,place,"""Healthcare"",""Healthcare Services"",""Pregnancy and Sexual Health""",0,
14001003,place,"""Healthcare"",""Healthcare Services"",""Podiatrists""",0,
14001004,place,"""Healthcare"",""Healthcare Services"",""Physical Therapy""",0,
14001005,place,"""Healthcare"",""Healthcare Services"",""Optometrists""",0,
14001006,place,"""Healthcare"",""Healthcare Services"",""Nutritionists""",0,
14001007,place,"""Healthcare"",""Healthcare Services"",""Nurses""",0,
14001008,place,"""Healthcare"",""Healthcare Services"",""Mental Health""",0,
14001009,place,"""Healthcare"",""Healthcare Services"",""Medical Supplies and Labs""",0,
14001010,place,"""Healthcare"",""Healthcare Services"",""Hospitals, Clinics and Medical Centers""",0,
14001011,place,"""Healthcare"",""Healthcare Services"",""Emergency Services""",0,
14001012,place,"""Healthcare"",""Healthcare Services"",""Dentists""",0,
14001013,place,"""Healthcare"",""Healthcare Services"",""Counseling and Therapy""",0,
14001014,place,"""Healthcare"",""Healthcare Services"",""Chiropractors""",0,
14001015,place,"""Healthcare"",""Healthcare Services"",""Blood Banks and Centers""",0,
14001016,place,"""Healthcare"",""Healthcare Services"",""Alternative Medicine""",0,
14001017,place,"""Healthcare"",""Healthcare Services"",""Acupuncture""",0,
14002000,place,"""Healthcare"",""Physicians""",0,
14002001,place,"""Healthcare"",""Physicians"",""Urologists""",0,
14002002,place,"""Healthcare"",""Physicians"",""Respiratory""",0,
14002003,place,"""Healthcare"",""Physicians"",""Radiologists""",0,
14002004,place,"""Healthcare"",""Physicians"",""Psychiatrists""",0,
14002005,place,"""Healthcare"",""Physicians"",""Plastic Surgeons""",0,
14002006,place,"""Healthcare"",""Physicians"",""Pediatricians""",0,
14002007,place,"""Healthcare"",""Physicians"",""Pathologists""",0,
14002008,place,"""Healthcare"",""Physicians"",""Orthopedic Surgeons""",0,
14002009,place,"""Healthcare"",""Physicians"",""Ophthalmologists""",0,
14002010,place,"""Healthcare"",""Physicians"",""Oncologists""",0,
14002011,place,"""Healthcare"",""Physicians"",""Obstetricians and Gynecologists""",0,
14002012,place,"""Healthcare"",""Physicians"",""Neurologists""",0,
14002013,place,"""Healthcare"",""Physicians"",""Internal Medicine""",0,
14002014,place,"""Healthcare"",""Physicians"",""General Surgery""",0,
14002015,place,"""Healthcare"",""Physicians"",""Gastroenterologists""",0,
14002016,place,"""Healthcare"",""Physicians"",""Family Medicine""",0,
14002017,place,"""Healthcare"",""Physicians"",""Ear, Nose and Throat""",0,
14002018,place,"""Healthcare"",""Physicians"",""Dermatologists""",0,
14002019,place,"""Healthcare"",""Physicians"",""Cardiologists""",0,
14002020,place,"""Healthcare"",""Physicians"",""Anesthesiologists""",0,
15000000,special,"""Interest""",0,
15001000,special,"""Interest"",""Interest Earned""",0,
15002000,special,"""Interest"",""Interest Charged""",0,
16000000,special,"""Payment""",0,
16001000,special,"""Payment"",""Credit Card""",0,
16002000,special,"""Payment"",""Rent""",0,
16003000,special,"""Payment"",""Loan""",0,
17000000,place,"""Recreation""",0,
17001000,place,"""Recreation"",""Arts and Entertainment""",0,
17001001,place,"""Recreation"",""Arts and Entertainment"",""Theatrical Productions""",0,
17001002,place,"""Recreation"",""Arts and Entertainment"",""Symphony and Opera""",0,
17001003,place,"""Recreation"",""Arts and Entertainment"",""Sports Venues""",0,
17001004,place,"""Recreation"",""Arts and Entertainment"",""Social Clubs""",0,
17001005,place,"""Recreation"",""Arts and Entertainment"",""Psychics and Astrologers""",0,
17001006,place,"""Recreation"",""Arts and Entertainment"",""Party Centers""",0,
17001007,place,"""Recreation"",""Arts and Entertainment"",""Music and Show Venues""",0,
17001008,place,"""Recreation"",""Arts and Entertainment"",""Museums""",0,
17001009,place,"""Recreation"",""Arts and Entertainment"",""Movie Theatres""",0,
17001010,place,"""Recreation"",""Arts and Entertainment"",""Fairgrounds and Rodeos""",0,
17001011,place,"""Recreation"",""Arts and Entertainment"",""Entertainment""",0,
17001012,place,"""Recreation"",""Arts and Entertainment"",""Dance Halls and Saloons""",0,
17001013,place,"""Recreation"",""Arts and Entertainment"",""Circuses and Carnivals""",0,
17001014,place,"""Recreation"",""Arts and Entertainment"",""Casinos and Gaming""",0,
17001015,place,"""Recreation"",""Arts and Entertainment"",""Bowling""",0,
17001016,place,"""Recreation"",""Arts and Entertainment"",""Billiards and Pool""",0,
17001017,place,"""Recreation"",""Arts and Entertainment"",""Art Dealers and Galleries""",0,
17001018,place,"""Recreation"",""Arts and Entertainment"",""Arcades and Amusement Parks""",0,
17001019,place,"""Recreation"",""Arts and Entertainment"",""Aquarium""",0,
17002000,place,"""Recreation"",""Athletic Fields""",0,
17003000,place,"""Recreation"",""Baseball""",0,
17004000,place,"""Recreation"",""Basketball""",0,
17005000,place,"""Recreation"",""Batting Cages""",0,
17006000,place,"""Recreation"",""Boating""",0,
17007000,place,"""Recreation"",""Campgrounds and RV Parks""",0,
17008000,place,"""Recreation"",""Canoes and Kayaks""",0,
17009000,place,"""Recreation"",""Combat Sports""",0,
17010000,place,"""Recreation"",""Cycling""",0,
17011000,place,"""Recreation"",""Dance""",0,
17012000,place,"""Recreation"",""Equestrian""",0,
17013000,place,"""Recreation"",""Football""",0,
17014000,place,"""Recreation"",""Go Carts""",0,
17015000,place,"""Recreation"",""Golf""",0,
17016000,place,"""Recreation"",""Gun Ranges""",0,
17017000,place,"""Recreation"",""Gymnastics""",0,
17018000,place,"""Recreation"",""Gyms and Fitness Centers""",0,
17019000,place,"""Recreation"",""Hiking""",0,
17020000,place,"""Recreation"",""Hockey""",0,
17021000,place,"""Recreation"",""Hot Air Balloons""",0,
17022000,place,"""Recreation"",""Hunting and Fishing""",0,
17023000,place,"""Recreation"",""Landmarks""",0,
17023001,place,"""Recreation"",""Landmarks"",""Monuments and Memorials""",0,
17023002,place,"""Recreation"",""Landmarks"",""Historic Sites""",0,
17023003,place,"""Recreation"",""Landmarks"",""Gardens""",0,
17023004,place,"""Recreation"",""Landmarks"",""Buildings and Structures""",0,
17024000,place,"""Recreation"",""Miniature Golf""",0,
17025000,place,"""Recreation"",""Outdoors""",0,
17025001,place,"""Recreation"",""Outdoors"",""Rivers""",0,
17025002,place,"""Recreation"",""Outdoors"",""Mountains""",0,
17025003,place,"""Recreation"",""Outdoors"",""Lakes""",0,
17025004,place,"""Recreation"",""Outdoors"",""Forests""",0,
17025005,place,"""Recreation"",""Outdoors"",""Beaches""",0,
17026000,place,"""Recreation"",""Paintball""",0,
17027000,place,"""Recreation"",""Parks""",0,
17027001,place,"""Recreation"",""Parks"",""Playgrounds""",0,
17027002,place,"""Recreation"",""Parks"",""Picnic Areas""",0,
17027003,place,"""Recreation"",""Parks"",""Natural Parks""",0,
17028000,place,"""Recreation"",""Personal Trainers""",0,
17029000,place,"""Recreation"",""Race Tracks""",0,
